job_name,city,education,work_exp,company,salary_avg,data_source
AI测试工程师助理,北京,大专,1-2年,潍坊市博远人力资源,10500,前程无忧
计算机视觉算法（文字、人脸、音视频）,北京,硕士,3年及以上,湖北微模式科技发展,45000,前程无忧
计算机视觉工程师,北京,本科,1年及以上,北京舜天汇智科技,22500,前程无忧
计算机类 英文学术期刊助理编辑,北京,硕士,无需经验,曼迪匹艾（北京）科技服务,22500,前程无忧
计算机技术员（双休 五险一金）,北京,大专,无需经验,北京棱澈科技,10000,前程无忧
计算机维护助理（双休）,北京,大专,无需经验,河南腾桓人力资源,10000,前程无忧
计算机网络管理员,北京,大专,无需经验,北京郡雅科贸,6500,前程无忧
计算机测控系统设计师,北京,本科,5-7年,北京锐和昌航天科技,12500,前程无忧
计算机运维专员（双休 五险一金）,北京,大专,无需经验,北京棱澈科技,10000,前程无忧
计算机文员（五险一金，双休）,北京,大专,无需经验,山东星智海人力资源,8500,前程无忧
技术服务工程师/转播工程师,北京,大专,无需经验,上海敬谊会务服务,10000,前程无忧
双休/包食宿/智能运维,北京,,无需经验,河北恒建轨道交通,9000,前程无忧
计算机运维管理员（双休 五险一金）,北京,大专,无需经验,北京棱澈科技,10000,前程无忧
网络运维工程师（SD-WAN）北京,北京,本科,1年及以上,广州朗桥维视通信技术,9500,前程无忧
咨询顾问或高级咨询顾问（财务管理咨询方向）,北京,硕士,无需经验,上海立信锐思信息管理,12000,前程无忧
数据运营（双休加补贴）,北京,大专,无需经验,河南腾桓人力资源,10000,前程无忧
技术研发经理,北京,本科,5年及以上,北京腾华善智科技,7500,前程无忧
云计算运维,北京,大专,1年及以上,北京郡雅科贸,6500,前程无忧
卫星太阳翼总体设计师,北京,硕士,5年及以上,北京曦光星翼科技,37500,前程无忧
材料计算工程师,北京,硕士,无需经验,北京智能重构科技,17500,前程无忧
计算机测试员（双休),北京,大专,无需经验,山东凯恩人力资源,10000,前程无忧
计算机信息化岗,北京,本科,5年及以上,北京国医械华光认证,12750,前程无忧
计算机硬件设备安装调试,,中技/中专,无需经验,北京汉志商贸,9000,前程无忧
嵌入式软件工程师,北京,本科,5年及以上,北京先瑞达医疗科技,21500,前程无忧
计算机维护员（双休）,北京,大专,无需经验,山东凯恩人力资源,10000,前程无忧
计算机安全保密管理员,北京,本科,3年及以上,中海成（北京）技术,9000,前程无忧
测试工程师 有机会转开发,北京,本科,1-3年,上海学获帮教育科技,14000,前程无忧
高性能计算工程师-算子优化,北京,本科,1-3年,进迭时空（杭州）科技,50000,前程无忧
信息管理员,北京,本科,无需经验,北京方德瑞投资,7500,前程无忧
运维实施工程师,北京,本科,无需经验,成都数智风科技,7500,前程无忧
EDA开发工程师,北京,硕士,1-5年,中科芯磁科技（珠海）,16000,前程无忧
（云计算）生态渠道管理,北京,本科,8年及以上,思码睿猎人才咨询（上海）,70000,前程无忧
