数据来源,关键词,岗位名称,薪资,城市,经验要求,学历要求,公司名称
智联,计算机,计算机硬件维护工程师-五险一金,8000-12000元,武汉·江汉·经开区,经验不限,大专,立即投递收藏
智联,计算机,计算机硬件维护工程师,8000-13000元,深圳·龙岗·莲花,经验不限,学历不限,立即投递收藏
智联,计算机,计算机技术员,7000-12000元,深圳·龙岗·坂田,经验不限,大专,立即投递收藏
智联,计算机,服务器计算机硬件维护经理（五休2）,8000-11000元·13薪,长沙·开福·马坡岭,经验不限,中专/中技,立即投递收藏
智联,计算机,计算机维修,3000-5000元,贵阳·黄河路,1-3年,学历不限,立即投递收藏
智联,计算机,计算机硬件维护工程师,8000-13000元,来宾·兴宾区·城北街道,经验不限,学历不限,立即投递收藏
智联,计算机,计算机编程老师,5000-10000元,泸州·江阳区·况场街道,经验不限,本科,立即投递收藏
智联,计算机,计算机应用教师,6000-9000元,宿州·砀山县·砀城镇,经验不限,本科,立即投递收藏
智联,计算机,计算机技术客服【7000+ 提供住宿】,4000-8000元,潍坊·奎文·清池,经验不限,大专,立即投递收藏
智联,计算机,计算机硬件维护工程师,8000-13000元,成都·高新区·石羊,经验不限,学历不限,立即投递收藏
智联,计算机,计算机实习生(纯盖章),150-200元/天,厦门·集美·杏林,经验不限,中专/中技,立即投递收藏
智联,计算机,计算机硬件工程师,6000-8000元·13薪,合肥·蜀山·井岗,经验不限,学历不限,立即投递收藏
智联,计算机,计算机实习生2027届（可签三方实习协议）,80-160元/天,广州·海珠·沙面,经验不限,大专,立即投递收藏
智联,计算机,计算机专业课老师,5000-8000元,安阳·林州市·龙山街道,1-3年,本科,立即投递收藏
智联,计算机,AI计算机专员（兼职）,2001-3000元,郑州·金水·祭城路,经验不限,本科,立即投递收藏
智联,计算机,计算机老师,5000-7000元,杭州·钱塘·下沙,经验不限,本科,立即投递收藏
智联,计算机,专升本计算机老师,9000-12000元,成都·金牛·营门口,经验不限,本科,立即投递收藏
智联,计算机,计算机网络工程师 双休,5000-7000元·13薪,重庆·渝北·大竹林,经验不限,大专,立即投递收藏
智联,计算机,计算机教师,6000-8000元,济宁·任城区·金城街道,经验不限,本科,立即投递收藏
智联,计算机,专升本计算机老师,100-150元/时,济南·天桥·北园,5-10年,学历不限,立即投递收藏
智联,计算机,计算机系统设计与实现,5000-8000元,秦皇岛·海港区·珠江道街道,经验不限,本科,立即投递收藏
智联,计算机,计算机硬件维护工程师,1-1.3万,上海·宝山·庙行,1-3年,大专,立即投递收藏
智联,计算机,计算机硬件维护工程师,8000-13000元,广州·黄埔·北京街道,经验不限,学历不限,立即投递收藏
智联,计算机,计算机技术员,8000-16000元,杭州·滨江·西兴,经验不限,大专,立即投递收藏
智联,计算机,服务器计算机硬件维护经理（五休2）,8000-10000元·13薪,长沙·开福·马坡岭,经验不限,学历不限,立即投递收藏
智联,计算机,计算机硬件维护专员+周末双休+五险一金,8000-13000元,北京·海淀·甘家口,经验不限,大专,立即投递收藏
智联,计算机,计算机维修,8000-11000元,苏州·吴中·长桥,1年以下,大专,立即投递收藏
智联,计算机,计算机维修,8000元,上海·闵行·梅陇,经验不限,学历不限,立即投递收藏
智联,计算机,双休+计算机助理（测试方向）,5000-8000元,郑州·二七区·解放路,经验不限,大专,立即投递收藏
智联,计算机,计算机实习生,4000-8000元,泉州·晋江市·罗山街道,经验不限,学历不限,立即投递收藏
智联,计算机,计算机硬件工程师,4000-6000元,济南·历城·港沟,经验不限,学历不限,立即投递收藏
智联,计算机,计算机软件程序老师,3000-5000元,邯郸·邯山区·罗城头街道,1-3年,大专,立即投递收藏
智联,计算机,中职计算机教师,5000-8000元,福州·福清·石竹,经验不限,本科,立即投递收藏
智联,计算机,沿海计算机老师,5000-8000元,南通·通州·三余,经验不限,本科,立即投递收藏
智联,计算机,计算机基础老师,1-2万·14薪,沈阳·沈北·正良,3-5年,本科,立即投递收藏
智联,计算机,中职计算机教师,4000-6000元,连云港·连云区·宿城街道,经验不限,本科,立即投递收藏
智联,计算机,专升本数学/计算机老师,4000-6000元,晋中·榆次区·晋中经济开发区,3-5年,本科,立即投递收藏
智联,计算机,计算机实习生,100-120元/天,眉山·仁寿县·视高街道,经验不限,本科,立即投递收藏
智联,计算机,计算机硬件维护工程师,8000-13000元,广州·荔湾·六榕,经验不限,学历不限,立即投递收藏
智联,计算机,计算机老师,4000-8000元,洛阳·洛龙,1-3年,本科,立即投递收藏
智联,计算机,计算机硬件维护专员,7000-10000元,济南·市中·港沟,经验不限,高中,立即投递收藏
智联,计算机,计算机实习生2027届（可签三方实习协议）,80-160元/天,杭州·萧山·盈丰,经验不限,大专,立即投递收藏
智联,计算机,计算机硬件技术员,7000-8000元,上海·静安·静安寺,经验不限,大专,立即投递收藏
智联,计算机,计算机硬件维护工程师,8000-13000元,重庆·潼南·大溪沟,经验不限,学历不限,立即投递收藏
智联,计算机,计算机文员,4000-5000元,重庆·两江新区,经验不限,大专,立即投递收藏
智联,计算机,专升本计算机老师,6000-12000元,济南·市中·舜耕,经验不限,本科,立即投递收藏
智联,计算机,计算机网络硬件维护与维修工,5000-7000元,哈尔滨·香坊·健康路,10年以上,大专,立即投递收藏
智联,计算机,计算机售后线上技术支持,4000-7000元,泰安·岱岳区·北集坡街道,经验不限,学历不限,立即投递收藏
智联,计算机,计算机老师,4000-6000元,邢台·襄都区·晏家屯镇,经验不限,大专,立即投递收藏
智联,计算机,大学计算机教师,4000-8000元,兰州·安宁区·孔家崖街道,1-3年,本科,立即投递收藏
智联,计算机,计算机教师,4000-7000元,石家庄·鹿泉·上庄,3-5年,本科,立即投递收藏
智联,计算机,高薪计算机助理/五险一金,6000-8000元,武汉·洪山·关山,经验不限,大专,立即投递收藏
智联,计算机,计算机老师,4000-8000元,佛山·南海·狮山,经验不限,大专,立即投递收藏
智联,计算机,售后运维计算机硬件维护工程师负责人,9000-10000元,惠州·仲恺区·江北街道,经验不限,中专/中技,立即投递收藏
智联,计算机,计算机文员,350元/天,南京·秦淮·五老村,经验不限,大专,立即投递收藏
智联,计算机,计算机硬件维护工程师,7000-10000元·13薪,武汉·洪山·九峰,经验不限,大专,立即投递收藏
智联,计算机,计算机教师,5000-8000元,天津·津南·北闸口,经验不限,大专,立即投递收藏
智联,计算机,招两个计算机专业的,4000-8000元,泰安·岱岳区·粥店街道,经验不限,大专,立即投递收藏
智联,计算机,高级技工学校计算机教师,3000-4000元,保定·莲池·百楼,1-3年,本科,立即投递收藏
智联,计算机,计算机文员,6000-8000元,惠州·惠城区·河南岸街道,1-3年,大专,立即投递收藏
智联,计算机,计算机教师,4000-6000元,长春·宽城·欣园,1-3年,本科,立即投递收藏
智联,计算机,计算机编程实习生,100-150元/天,杭州·滨江·西兴,经验不限,本科,立即投递收藏
智联,计算机,中专计算机平面设计老师,3000-4000元,保定·莲池,经验不限,本科,立即投递收藏
智联,计算机,计算机维修,8000-11000元,无锡·梁溪·北大街,1年以下,大专,立即投递收藏
智联,计算机,计算机硬件维护工程师,8000-13000元,重庆·梁平·大溪沟,经验不限,学历不限,立即投递收藏
智联,计算机,计算机实习生2027届（可签三方协议）,80-160元/天,贵阳·观山湖·金阳,经验不限,大专,立即投递收藏
智联,计算机,计算机技术员,5000-9000元,武汉·江夏,经验不限,大专,立即投递收藏
智联,计算机,计算机应用,7000-12000元,南京·建邺·沙洲,经验不限,大专,立即投递收藏
智联,计算机,计算机硬件技术员,7000-8000元,深圳·福田·福田街道,1-3年,大专,立即投递收藏
智联,计算机,计算机应用专业教师,4000-6000元·13薪,无锡·滨湖·雪浪,3-5年,本科,立即投递收藏
智联,计算机,计算机老师,5000-7000元,宜宾·翠屏区·沙坪街道,经验不限,硕士,立即投递收藏
智联,计算机,计算机技术员,300-600元/时,深圳·龙岗·龙城,经验不限,学历不限,立即投递收藏
智联,计算机,计算机老师,5000-8000元,武汉·江夏,1-3年,本科,立即投递收藏
智联,计算机,计算机科学与技术（大学老师）,6000-10000元,抚州·临川区·七里岗乡,经验不限,硕士,立即投递收藏
智联,计算机,大学物联网应用技术教师/大学计算机老师（带薪寒暑假）,5000-9000元,福州·闽侯·荆溪,3-5年,本科,立即投递收藏
智联,计算机,计算机硬件技术员,1-1.2万,合肥·肥西·紫蓬,1-3年,大专,立即投递收藏
智联,计算机,4K计算机硬件维护工程师助理,4000-8000元,武汉·洪山·关山,经验不限,学历不限,立即投递收藏
智联,计算机,计算机硬件技术员,5000-7000元,成都·青羊·草市街,1年以下,大专,立即投递收藏
智联,计算机,计算机辅助设备管理员,4000-6000元,天津·南开·万兴,1年以下,学历不限,立即投递收藏
