job_name,city,education,work_exp,company,salary_avg,data_source
计算机技术员,深圳,大专,经验不限,立即投递收藏,9500,智联
急招普工/操作工-月入8000（小区宿舍-包住）,天津,学历不限,经验不限,立即投递收藏,7000,智联
计算机老师,邢台,大专,经验不限,立即投递收藏,5000,智联
计算机硬件维护工程师-五险一金,武汉,大专,经验不限,立即投递收藏,10000,智联
计算机编程老师,泸州,本科,经验不限,立即投递收藏,7500,智联
专升本计算机老师,济南,学历不限,5-10年,立即投递收藏,125,智联
计算机硬件维护工程师,武汉,学历不限,经验不限,立即投递收藏,10500,智联
计算机硬件维护工程师,上海,大专,1-3年,立即投递收藏,11500,智联
计算机硬件维护专员+周末双休+五险一金,北京,大专,经验不限,立即投递收藏,10500,智联
计算机人才 应届生亦可,汕头,本科,经验不限,立即投递收藏,6000,智联
计算机文员,沧州,学历不限,1-3年,立即投递收藏,3000,智联
计算机技术客服【7000+ 提供住宿】,潍坊,大专,经验不限,立即投递收藏,6000,智联
中职计算机教师,连云港,本科,经验不限,立即投递收藏,5000,智联
计算机实习生2027届（可签三方实习协议）,广州,大专,经验不限,立即投递收藏,120,智联
计算机维修,上海,学历不限,经验不限,立即投递收藏,8000,智联
计算机实习生(纯盖章),厦门,中专/中技,经验不限,立即投递收藏,175,智联
计算机老师（专升本）,聊城,本科,经验不限,立即投递收藏,110,智联
计算机软件程序老师,邯郸,大专,1-3年,立即投递收藏,4000,智联
计算机硬件维护工程师,成都,学历不限,经验不限,立即投递收藏,10500,智联
计算机软件编程助理,合肥,大专,经验不限,立即投递收藏,4500,智联
计算机技术员,杭州,大专,经验不限,立即投递收藏,12000,智联
计算机硬件维护工程师,长沙,学历不限,经验不限,立即投递收藏,10500,智联
计算机系统设计与实现,秦皇岛,本科,经验不限,立即投递收藏,6500,智联
计算机硬件工程师,合肥,学历不限,经验不限,立即投递收藏,7000,智联
计算机硬件维护工程师,济南,学历不限,1-3年,立即投递收藏,5000,智联
计算机实习生,泉州,学历不限,经验不限,立即投递收藏,6000,智联
计算机硬件维护工程师,广州,学历不限,经验不限,立即投递收藏,10500,智联
计算机应用教师,宿州,本科,经验不限,立即投递收藏,7500,智联
计算机软件硬件实习生,辽源,大专,经验不限,立即投递收藏,2500,智联
计算机老师,宜宾,硕士,经验不限,立即投递收藏,6000,智联
计算机网络工程师 双休,重庆,大专,经验不限,立即投递收藏,6000,智联
计算机硬件维护工程师（要求银行网点运维经验）,长春,学历不限,1-3年,立即投递收藏,4000,智联
计算机类（2026届校招）,无锡,本科,经验不限,立即投递收藏,11500,智联
计算机实习生（可签实习三方协议）,南昌,大专,经验不限,立即投递收藏,120,智联
计算机硬件维护专员,济南,中专/中技,经验不限,立即投递收藏,7500,智联
计算机教师,济宁,本科,经验不限,立即投递收藏,7000,智联
专升本计算机老师,成都,本科,经验不限,立即投递收藏,10500,智联
大学物联网应用技术教师/大学计算机老师（带薪寒暑假）,福州,本科,3-5年,立即投递收藏,7000,智联
中专计算机平面设计老师,保定,本科,经验不限,立即投递收藏,3500,智联
计算机维修,苏州,中专/中技,1-3年,立即投递收藏,9000,智联
计算机等级老师,邯郸,大专,3-5年,立即投递收藏,4000,智联
专升本计算机授课老师,兰州,硕士,经验不限,立即投递收藏,6000,智联
4K计算机硬件维护工程师助理,武汉,学历不限,经验不限,立即投递收藏,6000,智联
计算机讲师,石家庄,本科,1-3年,立即投递收藏,6500,智联
双休+计算机助理（测试方向）,郑州,大专,经验不限,立即投递收藏,6500,智联
计算机教师,长春,本科,1-3年,立即投递收藏,5000,智联
语 数 英 机电 医护 计算机 财税 电商 体育 数媒 艺术,青岛,本科,1-3年,立即投递收藏,7500,智联
大学计算机教师,兰州,本科,1-3年,立即投递收藏,6000,智联
计算机硬件维护工程师,北京,学历不限,经验不限,立即投递收藏,10500,智联
计算机老师,佛山,大专,经验不限,立即投递收藏,6000,智联
兼职(线上)留学生辅导计算机社会政治哲学,石家庄,本科,经验不限,立即投递收藏,225,智联
计算机实习生2027届（可签三方实习协议）,厦门,大专,经验不限,立即投递收藏,120,智联
大专计算机教师,荆州,硕士,经验不限,立即投递收藏,6000,智联
专升本数学/计算机老师,晋中,本科,3-5年,立即投递收藏,5000,智联
高级技工学校计算机教师,保定,本科,1-3年,立即投递收藏,3500,智联
计算机科学与技术（大学老师）,抚州,硕士,经验不限,立即投递收藏,8000,智联
计算机技术员,武汉,大专,经验不限,立即投递收藏,7000,智联
计算机应用,南京,大专,经验不限,立即投递收藏,9500,智联
计算机老师,杭州,本科,经验不限,立即投递收藏,6000,智联
5K起计算机助理/双休,武汉,高中,经验不限,立即投递收藏,7000,智联
计算机应用专业教师,无锡,本科,3-5年,立即投递收藏,5000,智联
计算机网络技术,贵阳,大专,1-3年,立即投递收藏,7000,智联
技校计算机专业老师,保定,本科,经验不限,立即投递收藏,3500,智联
计算机动漫与游戏制作专业教师,日照,本科,1-3年,立即投递收藏,6500,智联
计算机网络管理员,石家庄,大专,经验不限,立即投递收藏,8500,智联
计算机任课教师,徐州,本科,1-3年,立即投递收藏,6000,智联
计算机网络硬件维护与维修工,哈尔滨,大专,10年以上,立即投递收藏,6000,智联
计算机教师（平面设计老师）,临沂,本科,经验不限,立即投递收藏,6000,智联
计算机科学与技术教师,廊坊,硕士,经验不限,立即投递收藏,7500,智联
计算机实习生2027届（可签三方协议）,贵阳,大专,经验不限,立即投递收藏,120,智联
计算机程序老师,邯郸,大专,3-5年,立即投递收藏,4000,智联
