job_name,city,education,work_exp,company,salary_avg,data_source
中学数学及计算机老师,深圳-南山区,硕士,3年以上,深圳市南山区丽林维育学校,25000.0,data(1)
自动驾驶感知算法工程师,重庆-渝北区,硕士,2-4年,重庆长线智能科技有限责任公司,40000.0,data(1)
自动驾驶感知算法工程师,北京-海淀区,硕士,2-4年,重庆长线智能科技有限责任公司,40000.0,data(1)
模拟计算工程师,郑州-中原区,硕士,经验不限,河南泛锐复合材料研究院有限公司,10000.0,data(1)
计算机专员,郑州,本科,经验不限,某国内IT服务公司,15000.0,data(1)
管培生/工艺工程师/IT工程师(26届/校招/985 能源/机械/计算机),烟台,本科,经验不限,某上海大型机械/设备公司,15000.0,data(1)
计算机专员,郑州,大专,经验不限,某国内IT服务公司,12000.0,data(1)
Python Developer,广州-黄埔区,本科,1-3年,恩士迅,15000.0,data(1)
计算机技术员,石家庄,本科,1-3年,某深圳互联网上市公司,9000.0,data(1)
计算机视觉工程师 （图像处理）- 半导体设备,成都,不限,3年以上,某知名公司,20000.0,data(1)
全国计算机教师,北京,不限,经验不限,某知名公司,25000.0,data(1)
机械有限元计算分析师,焦作-武陟县,本科,3-5年,某国内机械/设备公司,14000.0,data(1)
模拟计算工程师（分子动力学）,成都-简阳,硕士,经验不限,成都西蒙至简科技有限公司,20000.0,data(1)
诚聘专业带头人 (MJ000109),武汉-江夏区,博士,经验不限,武昌理工学院,20000.0,data(1)
计算机整机工程师,深圳-宝安区,大专,1-3年,深圳市奥盛通科技有限公司,27000.0,data(1)
软件工程师（14薪 六险一金全额缴纳）,成都,本科,经验不限,某大型通信设备公司,30000.0,data(1)
计算机老师,北京,不限,3-5年,某北京大型培训服务公司,25000.0,data(1)
电商客服(居家版),广州-越秀区,不限,经验不限,广州朽荏贸易有限公司,8000.0,data(1)
客服专员,芜湖,不限,1年以下,舟山飞旭科技有限公司,6000.0,data(1)
研发测试工程师,上海-浦东新区,本科,2年以上,柏飞电子,15000.0,data(1)
材料计算工程师（量子化学计算）,深圳-南山区,硕士,经验不限,深圳屹艮科技有限公司,30000.0,data(1)
双语计算机教师,扬州,本科,3-5年,新东方教育科技集团有限公司,30000.0,data(1)
射线剂量输运计算与测试工程师,上海-嘉定区,本科,经验不限,锐束医疗科技(上海)有限责任公司,30000.0,data(1)
强度计算工程师,合肥-肥西县,本科,经验不限,合肥新沪屏蔽泵有限公司,15000.0,data(1)
后端工程师,成都,本科,2年以上,成都四相致新科技有限公司,13000.0,data(1)
DFT理论计算工程师助理,成都-新都区,不限,经验不限,某专业技术服务公司,9000.0,data(1)
计算机软件测试工程师,上海-浦东新区,本科,3-5年,三一集团,30000.0,data(1)
软件开发（14薪 6险一金全额缴纳）,南京-雨花台区,本科,经验不限,某深圳大型通信设备公司,18000.0,data(1)
计算机科学与技术专业教师,广州-白云区,本科,经验不限,广州知藤教育科技有限公司,15000.0,data(1)
计算机教师,青岛-城阳区,硕士,1年以上,青岛城市学院,12000.0,data(1)
船舶-有限元、CFD计算工程师,湖州-吴兴区,本科,1年以上,宜昌佩恩网络科技有限公司,20000.0,data(1)
计算机视觉工程师,西安,不限,经验不限,烟台睿创微纳技术股份有限公司,15000.0,data(1)
理论计算工程师,长春,硕士,1年以上,长春海谱润斯科技股份有限公司,14000.0,data(1)
计算机视觉工程师（CV方向）,深圳-南山区,硕士,经验不限,广东天机智能系统有限公司,25000.0,data(1)
计算机教师,苏州-工业园区,硕士,3-5年,上海浅湾教育科技有限公司苏州分公司,20000.0,data(1)
计算机视觉研究员,北京-朝阳区,不限,经验不限,某大连IT服务公司,30000.0,data(1)
华为计算机产品线,北京,本科,经验不限,某深圳大型通信设备公司,30000.0,data(1)
计算机软件工程师,南京-浦口区,本科,3-5年,卜蜂(中国)生物科技有限公司,14000.0,data(1)
流动传热计算工程师,合肥,硕士,经验不限,中科重明,18000.0,data(1)
计算机化系统工程师/CSV工程师(J10844),苏州-工业园区,本科,3年以上,赛赋医药,12000.0,data(1)
计算机兼基础数学老师,深圳-龙华区,本科,经验不限,橘郡美高,20000.0,data(1)
计算机编程老师,北京-朝阳区,本科,经验不限,橘郡美高,12000.0,data(1)
人事经理,儋州,不限,经验不限,海南思沃家电商科技有限公司,9000.0,data(1)
一级市场科技投研（计算机、通信、微电子、光电等）,上海,本科,1-3年,某北京基金/证券/期货公司,30000.0,data(1)
材料计算工程师,惠州-博罗县,本科,2年以上,金龙羽新能源(深圳)有限公司,25000.0,data(1)
